sigma,iteration,model,rep,sample_size,r2_score,mae,pearson_corr
0.0,0,rf,ecfp4,10000,0.44979725268700455,0.5706489165258519,0.7763951132294509
0.0,0,rf,ecfp4,10000,0.6707512374633869,0.39682973990486253,0.8208411342299635
0.0,0,rf,ecfp4,10000,0.45707883918871506,0.5672522208504177,0.7816938145865944
0.0,0,rf,ecfp4,10000,0.7648624814240764,0.3203407401779233,0.8753675614045195
0.0,0,rf,ecfp4,10000,0.7990818430925021,0.29441816291800493,0.8943754580073136
0.0,0,rf,ecfp4,10000,0.43681916951920485,0.5788824427915277,0.7753614076504532
0.0,0,rf,ecfp4,10000,0.7248908063873543,0.35130162085145644,0.8525545724118455
0.0,0,rf,ecfp4,10000,0.7990818430925021,0.29441816291800493,0.8943754580073136
0.0,0,rf,ecfp4,10000,0.7990818430925021,0.7990818430925021,120.96074694416154,0.04778319202178771,3.8814854232354286,2.7545786893951094,474.06752230389304
0.0,0,rf,smiles,10000,0.3798519996489782,0.6040728786611788,0.7112920268327065
0.0,0,rf,smiles,10000,0.5594330558728484,0.4816985090745195,0.7492702505059212
0.0,0,rf,smiles,10000,0.3773888366051612,0.6054404697811523,0.710816988770867
0.0,0,rf,smiles,10000,0.6943696591565297,0.38188639291786924,0.8341186699669872
0.0,0,rf,smiles,10000,0.740885566985464,0.3381823601264771,0.8608877000701908
0.0,0,rf,smiles,10000,0.3574978724169051,0.6167376938267779,0.7000269257667441
0.0,0,rf,smiles,10000,0.6443198482767267,0.41946002668413396,0.8039746677589633
0.0,0,rf,smiles,10000,0.740885566985464,0.3381823601264771,0.8608877000701908
0.0,0,rf,smiles,10000,0.740885566985464,0.740885566985464,120.96074694416154,0.04778319202178771,3.8814854232354286,2.7545786893951094,474.06752230389304
0.7,0,rf,ecfp4,10000,0.28599387640748763,0.7779099566582389,0.6102072127443398
0.0,0,rf,ecfp4,10000,0.44117872481182463
