iteration,target,max_depth,max_features,min_samples_split,min_samples_leaf,n_estimators
0,0.44979725268700455,81.16262258099887,0.9507143064099162,12.775852715546659,36.86770314875885,320.47709448044867
1,0.6707512374633869,39.6389588638785,0.05808361216819946,12.82007021137776,43.44263114297183,1419.0644298141306
2,0.45707883918871506,39.21236929955444,0.9217266694516614,15.170694909016728,38.11598348543205,1421.2696005508653
3,0.7648624814240764,182.21268263627024,0.10535670454362778,18.65519757880066,8.216452732734531,1543.7017642551307
4,0.7990818430925021,120.96074694416154,0.04778319202178771,3.8814854232354286,2.7545786893951094,474.06752230389304
5,0.43681916951920485,99.03215129090195,0.9930174162931719,9.772691785562348,46.17122207894643,637.8921171336095
6,0.7248908063873543,163.4346473853832,0.17579019176412958,6.839489179499289,16.5197185503189,1454.5146263735744
0,0.3798519996489782,81.16262258099887,0.9507143064099162,12.775852715546659,36.86770314875885,320.47709448044867
1,0.5594330558728484,39.6389588638785,0.05808361216819946,12.82007021137776,43.44263114297183,1419.0644298141306
2,0.3773888366051612,39.21236929955444,0.9217266694516614,15.170694909016728,38.11598348543205,1421.2696005508653
3,0.6943696591565297,182.21268263627024,0.10535670454362778,18.65519757880066,8.216452732734531,1543.7017642551307
4,0.740885566985464,120.96074694416154,0.04778319202178771,3.8814854232354286,2.7545786893951094,474.06752230389304
5,0.3574978724169051,99.03215129090195,0.9930174162931719,9.772691785562348,46.17122207894643,637.8921171336095
6,0.6443198482767267,163.4346473853832,0.17579019176412958,6.839489179499289,16.5197185503189,1454.5146263735744
